🚀 FULL MATRIX: 140 files × 5 backends × 3 tiers = 2100 calls
📋 Checkpoint: 0 results already in live_matrix_full_v2.jsonl
  ✅ [gemma4:31b-cloud] tier2 ChaCha20_0019_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 ChaCha20_0020_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0001_pycryptodome.bin: GT=DES PRED=DES (0.3s)
  ✅ [gemma4:31b-cloud] tier2 DES_0002_openssl.bin: GT=DES PRED=DES (0.5s)
  ✅ [gemma4:31b-cloud] tier2 DES_0003_openssl.bin: GT=DES PRED=DES (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0004_openssl.bin: GT=DES PRED=DES (0.3s)
  ✅ [gemma4:31b-cloud] tier2 DES_0005_pycryptodome.bin: GT=DES PRED=DES (0.7s)
  ✅ [gemma4:31b-cloud] tier2 DES_0006_openssl.bin: GT=DES PRED=DES (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0007_openssl.bin: GT=DES PRED=DES (0.3s)
  ✅ [gemma4:31b-cloud] tier2 DES_0008_pycryptodome.bin: GT=DES PRED=DES (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0009_pycryptodome.bin: GT=DES PRED=DES (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0010_openssl.bin: GT=DES PRED=DES (1.6s)
  ✅ [gemma4:31b-cloud] tier2 DES_0011_openssl.bin: GT=DES PRED=DES (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0012_pycryptodome.bin: GT=DES PRED=DES (0.5s)
  ✅ [gemma4:31b-cloud] tier2 DES_0013_pycryptodome.bin: GT=DES PRED=DES (0.3s)
  ✅ [gemma4:31b-cloud] tier2 DES_0014_pycryptodome.bin: GT=DES PRED=DES (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0015_openssl.bin: GT=DES PRED=DES (0.5s)
  ✅ [gemma4:31b-cloud] tier2 DES_0016_pycryptodome.bin: GT=DES PRED=DES (0.4s)
  ✅ [gemma4:31b-cloud] tier2 DES_0017_openssl.bin: GT=DES PRED=DES (0.3s)
  ✅ [gemma4:31b-cloud] tier2 DES_0018_pycryptodome.bin: GT=DES PRED=DES (0.3s)
  ✅ [gemma4:31b-cloud] tier2 DES_0019_openssl.bin: GT=DES PRED=DES (0.5s)
  ✅ [gemma4:31b-cloud] tier2 DES_0020_pycryptodome.bin: GT=DES PRED=DES (0.5s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0001_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.6s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0002_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.8s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0003_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.6s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0004_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0005_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0006_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0007_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0008_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0009_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.5s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0010_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0011_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.6s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0012_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0013_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.5s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0014_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.6s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0015_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0016_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.7s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0017_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0018_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.5s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0019_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 ML-KEM-768_0020_openssl.bin: GT=ML-KEM-768 PRED=ML-KEM-768 (0.6s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0001_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.6s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0002_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0003_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.8s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0004_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.6s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0005_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0006_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (2.1s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0007_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0008_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0009_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.8s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0010_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0011_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0012_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (19.3s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0013_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.3s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0014_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (1.0s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0015_pycryptodome.bin: GT=RSA-2048 PRED=RSA-2048 (0.5s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0016_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0017_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.7s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0018_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.7s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0019_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.4s)
  ✅ [gemma4:31b-cloud] tier2 RSA-2048_0020_openssl.bin: GT=RSA-2048 PRED=RSA-2048 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0001_openssl.bin: GT=3DES PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0002_openssl.bin: GT=3DES PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0003_pycryptodome.bin: GT=3DES PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0004_pycryptodome.bin: GT=3DES PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0005_openssl.bin: GT=3DES PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0006_pycryptodome.bin: GT=3DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0007_openssl.bin: GT=3DES PRED=ChaCha20 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0008_pycryptodome.bin: GT=3DES PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0009_openssl.bin: GT=3DES PRED=AES-256 (1.5s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0010_pycryptodome.bin: GT=3DES PRED=ChaCha20 (22.7s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0011_pycryptodome.bin: GT=3DES PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0012_openssl.bin: GT=3DES PRED=ChaCha20 (2.2s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0013_openssl.bin: GT=3DES PRED=ChaCha20 (4.2s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0014_openssl.bin: GT=3DES PRED=ChaCha20 (1.4s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0015_pycryptodome.bin: GT=3DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0016_openssl.bin: GT=3DES PRED=ChaCha20 (10.0s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0017_openssl.bin: GT=3DES PRED=AES-128 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0018_pycryptodome.bin: GT=3DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0019_pycryptodome.bin: GT=3DES PRED=ChaCha20 (16.1s)
  ❌ [gemma4:31b-cloud] tier3 3DES_0020_openssl.bin: GT=3DES PRED=ChaCha20 (1.7s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0001_openssl.bin: GT=AES-128 PRED=ChaCha20 (4.1s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0002_pycryptodome.bin: GT=AES-128 PRED=AES-256 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0003_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0004_openssl.bin: GT=AES-128 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0005_openssl.bin: GT=AES-128 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0006_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0007_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0008_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (1.1s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0009_openssl.bin: GT=AES-128 PRED=ChaCha20 (4.5s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0010_openssl.bin: GT=AES-128 PRED=AES-256 (6.2s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0011_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (4.0s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0012_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0013_openssl.bin: GT=AES-128 PRED=AES-256 (0.8s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0014_openssl.bin: GT=AES-128 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0015_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0016_openssl.bin: GT=AES-128 PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0017_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (1.2s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0018_openssl.bin: GT=AES-128 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0019_pycryptodome.bin: GT=AES-128 PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 AES-128_0020_pycryptodome.bin: GT=AES-128 PRED=AES-256 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0001_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0002_openssl.bin: GT=AES-256 PRED=ChaCha20 (4.1s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0003_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0004_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.9s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0005_openssl.bin: GT=AES-256 PRED=ChaCha20 (8.6s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0006_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0007_pycryptodome.bin: GT=AES-256 PRED=ChaCha20 (19.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0008_pycryptodome.bin: GT=AES-256 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0009_openssl.bin: GT=AES-256 PRED=ChaCha20 (6.0s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0010_openssl.bin: GT=AES-256 PRED=ChaCha20 (12.9s)
  ✅ [gemma4:31b-cloud] tier3 AES-256_0011_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0012_pycryptodome.bin: GT=AES-256 PRED=ChaCha20 (1.5s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0013_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0014_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0015_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.9s)
  ✅ [gemma4:31b-cloud] tier3 AES-256_0016_pycryptodome.bin: GT=AES-256 PRED=AES-256 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0017_openssl.bin: GT=AES-256 PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0018_openssl.bin: GT=AES-256 PRED=ChaCha20 (31.3s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0019_pycryptodome.bin: GT=AES-256 PRED=ChaCha20 (25.1s)
  ❌ [gemma4:31b-cloud] tier3 AES-256_0020_pycryptodome.bin: GT=AES-256 PRED=ChaCha20 (0.6s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0001_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.8s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0002_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.5s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0003_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.3s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0004_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0005_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (2.1s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0006_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.3s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0007_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0008_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (1.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0009_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.5s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0010_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0011_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0012_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (3.3s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0013_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (9.8s)
  ❌ [gemma4:31b-cloud] tier3 ChaCha20_0014_openssl.bin: GT=ChaCha20 PRED=AES-256 (0.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0015_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0016_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0017_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (13.6s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0018_pycryptodome.bin: GT=ChaCha20 PRED=ChaCha20 (0.6s)
  ✅ [gemma4:31b-cloud] tier3 ChaCha20_0019_openssl.bin: GT=ChaCha20 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 ChaCha20_0020_openssl.bin: GT=ChaCha20 PRED=AES-256 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 DES_0001_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 DES_0002_openssl.bin: GT=DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 DES_0003_openssl.bin: GT=DES PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 DES_0004_openssl.bin: GT=DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 DES_0005_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 DES_0006_openssl.bin: GT=DES PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 DES_0007_openssl.bin: GT=DES PRED=ChaCha20 (0.8s)
  ❌ [gemma4:31b-cloud] tier3 DES_0008_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 DES_0009_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 DES_0010_openssl.bin: GT=DES PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 DES_0011_openssl.bin: GT=DES PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 DES_0012_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 DES_0013_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 DES_0014_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 DES_0015_openssl.bin: GT=DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 DES_0016_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.9s)
  ❌ [gemma4:31b-cloud] tier3 DES_0017_openssl.bin: GT=DES PRED=ChaCha20 (1.5s)
  ❌ [gemma4:31b-cloud] tier3 DES_0018_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 DES_0019_openssl.bin: GT=DES PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 DES_0020_pycryptodome.bin: GT=DES PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0001_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0002_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0003_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0004_openssl.bin: GT=ML-KEM-768 PRED=AES-256 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0005_openssl.bin: GT=ML-KEM-768 PRED=AES-256 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0006_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0007_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (17.2s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0008_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0009_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0010_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0011_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.6s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0012_openssl.bin: GT=ML-KEM-768 PRED=AES-256 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0013_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (2.6s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0014_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0015_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0016_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0017_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (2.3s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0018_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0019_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (1.1s)
  ❌ [gemma4:31b-cloud] tier3 ML-KEM-768_0020_openssl.bin: GT=ML-KEM-768 PRED=ChaCha20 (8.0s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0001_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0002_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (1.2s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0003_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0004_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (3.5s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0005_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (0.3s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0006_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0007_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (0.4s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0008_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (15.2s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0009_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (5.9s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0010_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0011_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0012_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (0.5s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0013_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (9.2s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0014_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (8.0s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0015_pycryptodome.bin: GT=RSA-2048 PRED=ChaCha20 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0016_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (1.2s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0017_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0018_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (0.9s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0019_openssl.bin: GT=RSA-2048 PRED=ChaCha20 (0.7s)
  ❌ [gemma4:31b-cloud] tier3 RSA-2048_0020_openssl.bin: GT=RSA-2048 PRED=AES-256 (0.6s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0001_openssl.bin: GT=3DES PRED=3DES (1.6s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0002_openssl.bin: GT=3DES PRED=3DES (1.4s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0003_pycryptodome.bin: GT=3DES PRED=3DES (0.8s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0004_pycryptodome.bin: GT=3DES PRED=3DES (0.7s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0005_openssl.bin: GT=3DES PRED=3DES (1.4s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0006_pycryptodome.bin: GT=3DES PRED=3DES (1.7s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0007_openssl.bin: GT=3DES PRED=3DES (2.2s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0008_pycryptodome.bin: GT=3DES PRED=3DES (2.4s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0009_openssl.bin: GT=3DES PRED=3DES (1.8s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0010_pycryptodome.bin: GT=3DES PRED=3DES (3.1s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0011_pycryptodome.bin: GT=3DES PRED=3DES (0.8s)
  ✅ [gpt-oss:120b-cloud] tier1 3DES_0012_openssl.bin: GT=3DES PRED=3DES (0.9s)
